Run,Learning Rate,Gamma,N Steps,Entropy Coef,Clip Range,GAE Lambda,Mean Reward,Std Reward
1,0.0003,0.99,2048,0.01,0.2,0.95,114.33,28.6
2,0.0001,0.99,512,0.005,0.15,0.92,103.8,34.22
3,0.001,0.99,4096,0.05,0.2,0.98,103.4,33.44
4,0.0003,0.85,512,0.01,0.2,0.9,104.67,31.91
5,0.0003,0.995,2048,0.01,0.3,0.98,107.67,28.01
6,0.0005,0.99,1024,0.0,0.1,0.95,102.07,28.28
7,0.0002,0.9,4096,0.05,0.25,0.92,106.13,27.1
8,0.0003,0.97,1024,0.02,0.15,0.95,107.33,29.66
9,5e-05,0.99,4096,0.01,0.2,0.99,106.8,31.06
10,0.0002,0.995,2048,0.02,0.25,0.98,105.4,34.69
