Run,Learning Rate,Gamma,N Steps,Entropy Coef,VF Coef,Max Grad Norm,Mean Reward,Std Reward
1,0.0007,0.99,20,0.01,0.0,0.5,72.33,48.49
2,0.0001,0.99,50,0.0,0.0,0.5,77.33,48.78
3,0.001,0.99,10,0.05,0.0,1.0,79.67,54.07
4,0.0007,0.85,50,0.01,0.0,0.5,86.33,45.72
5,0.0005,0.995,10,0.01,0.25,0.5,100.93,26.26
6,0.0003,0.99,30,0.02,0.5,0.5,103.47,29.85
7,0.001,0.97,50,0.01,0.1,0.3,84.0,50.57
8,0.0007,0.9,20,0.05,0.0,1.0,77.0,52.23
9,5e-05,0.99,50,0.005,0.1,0.5,102.67,48.85
10,0.0005,0.995,50,0.02,0.1,0.5,97.67,26.67
